time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
Time(s), VOLT 1 [BUS1 16.500], ANGL 1 [BUS1 16.500], VOLT 2 [BUS2 230.00], ANGL 2 [BUS2 230.00], VOLT 3 [BUS3 230.00], ANGL 3 [BUS3 230.00], FREQ 1 [BUS1 16.500], FREQ 2 [BUS2 230.00], FREQ 3 [BUS3 230.00], GREFGEN1, VREFGEN1, PELECGEN1, QELECGEN1, PMECHGEN1
-0.002, 0.822966, 0.431634, 0, 0, 0, 0, 0, 0, 0, 0, 0.864115, 0, 0, 0
0.048, 0.822966, 0.431634, 0, 0, 0, 0, 0, 0, 0, 0, 0.864115, 0, 0, 0
0.098, 0.822966, 0.431634, 0, 0, 0, 0, 0, 0, 0, 0, 0.864115, 0, 0, 0
0.148, 0.822966, 0.431634, 0, 0, 0, 0, 0, 0, 0, 0, 0.864115, 0, 0, 0
0.198, 0.822966, 0.431634, 0, 0, 0, 0, 0, 0, 0, 0, 0.864115, 0, 0, 0
0.248, 0.822966, 0.431634, 0, 0, 0, 0, 0, 0, 0, 0, 0.864115, 0, 0, 0
0.298, 0.822966, 0.431634, 0, 0, 0, 0, 0, 0, 0, 0, 0.864115, 0, 0, 0
0.347999, 0.822966, 0.431634, 0, 0, 0, 0, 0, 0, 0, 0, 0.864115, 0, 0, 0
0.397998, 0.822966, 0.431634, 0, 0, 0, 0, 0, 0, 0, 0, 0.864115, 0, 0, 0
0.447998, 0.822966, 0.431634, 0, 0, 0, 0, 0, 0, 0, 0, 0.864115, 0, 0, 0
0.497997, 0.822966, 0.431634, 0, 0, 0, 0, 0, 0, 0, 0, 0.864115, 0, 0, 0
0.547997, 0.822966, 0.431634, 0, 0, 0, 0, 0, 0, 0, 0, 0.864115, 0, 0, 0
0.597996, 0.822966, 0.431634, 0, 0, 0, 0, 0, 0, 0, 0, 0.864115, 0, 0, 0
0.647995, 0.822966, 0.431634, 0, 0, 0, 0, 0, 0, 0, 0, 0.864115, 0, 0, 0
0.697995, 0.822966, 0.431634, 0, 0, 0, 0, 0, 0, 0, 0, 0.864115, 0, 0, 0
0.747994, 0.822966, 0.431634, 0, 0, 0, 0, 0, 0, 0, 0, 0.864115, 0, 0, 0
0.797993, 0.822966, 0.431634, 0, 0, 0, 0, 0, 0, 0, 0, 0.864115, 0, 0, 0
0.847993, 0.822966, 0.431634, 0, 0, 0, 0, 0, 0, 0, 0, 0.864115, 0, 0, 0
0.897992, 0.822966, 0.431634, 0, 0, 0, 0, 0, 0, 0, 0, 0.864115, 0, 0, 0
0.947991, 0.822966, 0.431634, 0, 0, 0, 0, 0, 0, 0, 0, 0.864115, 0, 0, 0
0.997991, 0.822966, 0.431634, 0, 0, 0, 0, 0, 0, 0, 0, 0.864115, 0, 0, 0
0.999991, 0.822966, 0.431634, 0, 0, 0, 0, 0, 0, 0, 0, 0.864115, 0, 0, 0
