time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
Time(s), VOLT 1 [BUS1 16.500], ANGL 1 [BUS1 16.500], VOLT 2 [BUS2 230.00], ANGL 2 [BUS2 230.00], VOLT 3 [BUS3 230.00], ANGL 3 [BUS3 230.00], FREQ 1 [BUS1 16.500], FREQ 2 [BUS2 230.00], FREQ 3 [BUS3 230.00], GREFGEN1, VREFGEN1, PELECGEN1, QELECGEN1, PMECHGEN1
-0.002, 0.914209, 0.37323, 0, 0, 0, 0, 0, 0, 0, 0, 0.95992, 0, 0, 0
0.048, 0.914209, 0.37323, 0, 0, 0, 0, 2.33174e-16, 0, 0, 0, 0.95992, 0, 0, 0
0.098, 0.914209, 0.37323, 0, 0, 0, 0, 1.32052e-22, 0, 0, 0, 0.95992, 0, 0, 0
0.148, 0.914209, 0.37323, 0, 0, 0, 0, 7.47838e-29, 0, 0, 0, 0.95992, 0, 0, 0
0.198, 0.914209, 0.37323, 0, 0, 0, 0, 4.23517e-35, 0, 0, 0, 0.95992, 0, 0, 0
0.248, 0.914209, 0.37323, 0, 0, 0, 0, 2.39538e-41, 0, 0, 0, 0.95992, 0, 0, 0
0.298, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
0.347999, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
0.397998, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
0.447998, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
0.497997, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
0.547997, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
0.597996, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
0.647995, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
0.697995, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
0.747994, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
0.797993, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
0.847993, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
0.897992, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
0.947991, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
0.997991, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
0.999991, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
0.999991, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
1.04999, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
1.1, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
1.15, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
1.2, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
1.25, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
1.3, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
1.35001, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
1.40001, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
1.45001, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
1.50001, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
1.55002, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
1.60002, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
1.65002, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
1.70002, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
1.75003, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
1.80003, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
1.85003, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
1.90003, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
1.95004, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
2.00004, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
2.00004, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
2.05003, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
2.10003, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
2.15003, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
2.20002, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
2.25002, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
2.30002, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
2.35001, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
2.40001, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
2.45, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
2.5, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
2.55, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
2.59999, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
2.64999, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
2.69999, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
2.74998, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
2.79998, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
2.84998, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
2.89997, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
2.94997, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
2.99996, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
3.00096, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
3.00096, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
3.05096, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
3.10096, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
3.15095, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
3.20095, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
3.25095, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
3.30094, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
3.35094, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
3.40094, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
3.45093, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
3.50093, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
3.55093, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
3.60092, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
3.65092, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
3.70091, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
3.75091, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
3.80091, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
3.8509, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
3.9009, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
3.9509, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
4.00089, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
4.00089, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
4.05089, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
4.10089, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
4.15088, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
4.20088, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
4.25087, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
4.30087, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
4.35087, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
4.40086, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
4.45086, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
4.50086, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
4.55085, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
4.60085, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
4.65085, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
4.70084, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
4.75084, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
4.80083, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
4.85083, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
4.90083, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
4.95082, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
5.00082, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
5.00082, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
5.05082, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
5.10081, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
5.15081, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
5.20081, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
5.2508, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
5.3008, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
5.35079, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
5.40079, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
5.45079, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
5.50078, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
5.55078, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
5.60078, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
5.65077, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
5.70077, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
5.75077, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
5.80076, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
5.85076, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
5.90075, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
5.95075, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
6.00075, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
6.00075, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
6.05074, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
6.10074, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
6.15074, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
6.20073, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
6.25073, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
6.30073, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
6.35072, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
6.40072, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
6.45072, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
6.50071, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
6.55071, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
6.6007, 0.914209, 0.37323, 0, 0, 0, 0, 4.82047e-43, 0, 0, 0, 0.95992, 0, 0, 0
